taxon	max_age	min_age
Hesperocyon_gregarius_last	29.5	18.5
Prohesperocyon_wilsoni_first	37	33.9
Hesperocyon_coloradensis_first	33.9	31.8
Otarocyon_macdonaldi_first	37	31.8
Mesocyon_temnodon_last	29.5	18.5
Osbornodon_renjiei_last	31.8	29.5
Archaeocyon_pavidus_last	31.8	18.5
Cynodesmus_thooides_last	29.5	18.5
Osbornodon_sesnoni_last	29.5	24.7
Oxetocyon_cuspidatus_first	31.8	29.5
Archaeocyon_leptodus_last	29.5	18.5
Ectopocynus_antiquus_last	29.5	18.5
Paraenhydrocyon_josephi_last	29.5	18.5
Cynarctoides_lemur_last	29.5	18.5
Phlaocyon_latidens_last	29.5	24.7
Rhizocyon_oregonensis_first	29.5	24.7
Enhydrocyon_crassidens_last	29.5	18.5
Leptocyon_vulpinus_last	18.5	16.3
Paraenhydrocyon_robustus_first	23.1	18.5
Cormocyon_haydeni_first	29.5	18.5
Leptocyon_gregorii_first	23.1	18.5
Cynarctoides_acridens_last	16.3	12.5
Enhydrocyon_pahinsintewakpa_last	29.5	18.5
Archaeocyon_falkenbachi_first	29.5	18.5
Otarocyon_cooki_last	29.5	18.5
Cormocyon_copei_last	23.03	5.333
Caedocyon_tedfordi_first	29.5	18.5
Mesocyon_coryphaeus_last	29.5	18.5
Leptocyon_mollis_first	29.5	24.7
Mesocyon_brachyops_first	31.8	18.5
Enhydrocyon_stenocephalus_last	29.5	18.5
Cynarctoides_roii_first	29.5	24.7
Philotrox_condoni_last	29.5	18.5
Ectopocynus_intermedius_first	29.5	18.5
Phlaocyon_minor_last	18.5	16.3
Cynodesmus_martini_first	29.5	18.5
Sunkahetanka_geringensis_last	29.5	18.5
Leptocyon_douglassi_last	29.5	18.5
Desmocyon_thomsoni_last	18.5	16.3
Phlaocyon_annectens_first	23.1	18.5
Phlaocyon_achoros_first	27.82	23.03
Paraenhydrocyon_wallovianus_last	23.1	18.5
Cynarctoides_luskensis_first	23.1	18.5
Osbornodon_brachypus_first	29.5	18.5
Enhydrocyon_basilatus_first	29.5	18.5
Phlaocyon_multicuspus_first	23.1	18.5
Phlaocyon_leucosteus_last	18.5	16.3
Cynarctoides_harlowi_first	23.1	18.5
Metatomarctus_canavus_first	20.44	15.98
Protomarctus_optatus_last	18.5	12.5
Ectopocynus_simplicidens_first	18.5	16.3
Phlaocyon_mariae_first	18.5	16.3
Desmocyon_matthewi_first	18.5	16.3
Paracynarctus_kelloggi_first	23.03	5.333
Phlaocyon_marslandensis_first	18.5	16.3
Paracynarctus_sinclairi_first	16.3	12.5
Tomarctus_hippophaga_last	16.3	12.5
Tomarctus_brevirostris_last	15.98	11.63
Osbornodon_iamonensis_first	23.03	15.98
Microtomarctus_conferta_last	11.63	5.333
Osbornodon_fricki_last	16.3	12.5
Leptocyon_leidyi_last	16.3	12.5
Euoplocyon_brachygnathus_first	16.3	12.5
Psalidocyon_marianae_first	16.3	12.5
Aelurodon_asthenostylus_last	16.3	12.5
Cynarctoides_emryi_first	18.5	16.3
Phlaocyon_yatkolai_first	18.5	16.3
Epicyon_haydeni_last	12.5	4.7
Aelurodon_taxoides_last	11.63	3.6
Epicyon_saevus_last	16.3	4.7
Leptocyon_vafer_first	23.03	5.333
Aelurodon_ferox_last	16.3	9.4
Borophagus_secundus_last	9.4	4.7
Carpocyon_limosus_first	9.4	4.7
Borophagus_hilli_last	4.7	1.4
Eucyon_davisi_last	4.7	1.4
Cynarctus_crucidens_last	12.5	4.7
Paratomarctus_euthos_last	12.5	4.7
Carpocyon_robustus_first	12.5	9.4
Aelurodon_mcgrewi_first	16.3	12.5
Leptocyon_matthewi_last	12.5	4.7
Carpocyon_compressus_last	16.3	9.4
Borophagus_pugnator_last	9.4	4.7
Aelurodon_stirtoni_last	16.3	9.4
Carpocyon_webbi_last	9.4	4.7
Vulpes_stenognathus_last	1.4	0.21
Paratomarctus_temerarius_last	12.5	4.7
Cynarctus_saxatilis_first	16.3	12.5
Eucyon_ferox_last	4.7	1.4
Cynarctus_voorhiesi_first	12.5	9.4
Canis_lepophagus_last	4.7	0.014
Epicyon_aelurodontoides_first	9.4	4.7
Cynarctus_marylandica_first	15.98	13.82
Borophagus_orc_last	5.333	3.6
Euoplocyon_spissidens_first	18.5	16.3
Urocyon_webbi_first	9.4	4.7
Tephrocyon_rurestris_last	16.3	12.5
Metalopex_merriami_last	9.4	4.7
Borophagus_littoralis_last	11.63	5.333
Cynarctoides_gawnae_first	18.5	16.3
Protepicyon_raki_first	16.3	12.5
Borophagus_parvus_first	9.4	4.7
Cynarctus_galushai_first	16.3	12.5
Cerdocyon_texanus_last	4.7	1.4
Metalopex_macconnelli_last	9.4	4.7
Canis_edwardii_last	1.4	0.21
Canis_armbrusteri_last	0.129	0.0117
Canis_latrans_ext	0	0
Canis_latrans_last	0.129	0
Borophagus_diversidens_first	4.7	1.4
Urocyon_galushai_first	4.7	1.4
Canis_thooides_first	4.7	1.4
Urocyon_cinereoargenteus_ext	0	0
Urocyon_cinereoargenteus_last	2.58	0
Vulpes_velox_ext	0	0
Vulpes_velox_last	0.129	0
Vulpes_vulpes_ext	0	0
Vulpes_vulpes_last	2.58	0
Aenocyon_dirus_last	2.58	0.0117
Canis_lupus_ext	0	0
Canis_lupus_last	0.129	0
Urocyon_minicephalus_first	1.4	0.21
Urocyon_citrinus_first	2.58	1.8
Vulpes_lagopus_ext	0	0
Vulpes_lagopus_last	0.0117	0
Xenocyon_texanus_first	1.4	0.21
Lupulella_mesomelas_ext	0	0
Lupulella_mesomelas_last	2.58	0
Cerdocyon_thous_ext	0	0
Cerdocyon_thous_last	0.129	0
Speothos_venaticus_ext	0	0
Speothos_venaticus_last	0.0117	0
Lycaon_pictus_ext	0	0
Lycaon_pictus_last	2.58	0
Otocyon_megalotis_ext	0	0
Otocyon_megalotis_last	2.58	0
Canis_aureus_ext	0	0
Canis_aureus_last	2.58	0
Vulpes_chama_ext	0	0
Vulpes_chama_last	2.58	0
Canis_mosbachensis_last	0.774	0
Canis_etruscus_last	5.333	0.0117
Canis_arnensis_first	5.333	0.0117
Vulpes_corsac_ext	0	0
Vulpes_corsac_first	2.58	0.0117
Nyctereutes_procyonoides_ext	0	0
Nyctereutes_procyonoides_first	2.58	0
Cuon_alpinus_ext	0	0
Cuon_alpinus_first	2.58	0.0117
Canis_variabilis_last	0.129	0.0117
Chrysocyon_brachyurus_ext	0	0
Chrysocyon_brachyurus_last	2.58	0
Lycalopex_culpaeus_ext	0	0
Lycalopex_culpaeus_last	0.0117	0
Borophagus_dudleyi_last	5.333	3.6
Vulpes_macrotis_ext	0	0
Vulpes_macrotis_first	0.129	0.0117
Canis_chihliensis_first	3.6	0.774
Lycalopex_gymnocercus_ext	0	0
Lycalopex_gymnocercus_last	0.0117	0
Lycalopex_vetulus_ext	0	0
Lycalopex_vetulus_last	2.58	0.0117
Lycalopex_griseus_ext	0	0
Lycalopex_griseus_last	0.0117	0
Urocyon_littoralis_ext	0	0
Urocyon_littoralis_first	0.21	0
Canis_palmidens_first	3.6	0.774
Canis_simensis_ext	0	0
Canis_simensis_first	1.8	0.774
Lycalopex_sechurae_ext	0	0
Lycalopex_sechurae_first	0.129	0.0117
Dusicyon_australis_last	5e-04	0.000236
Lupulella_adusta_ext	0	0
Lupulella_adusta_last	0.0117	0
Canis_anthus_ext	0	0
Canis_anthus_last	2.58	0
Canis_falconeri_last	2.58	0.0117
Canis_antonii_first	3.6	0.774
Vulpes_rueppellii_ext	0	0
Vulpes_zerda_ext	0	0
Vulpes_pallida_ext	0	0
Atelocynus_microtis_ext	0	0
Lycalopex_fulvipes_ext	0	0
Vulpes_cana_ext	0	0
Vulpes_ferrilata_ext	0	0
