taxon	max_age	min_age
Hesperocyon_gregarius_first	39.7	37
Prohesperocyon_wilsoni_first	37	33.9
Hesperocyon_coloradensis_first	33.9	31.8
Otarocyon_macdonaldi_first	37	31.8
Mesocyon_temnodon_first	33.9	31.8
Osbornodon_renjiei_first	33.9	31.8
Archaeocyon_pavidus_first	31.8	29.5
Cynodesmus_thooides_first	31.8	29.5
Osbornodon_sesnoni_first	31.8	29.5
Oxetocyon_cuspidatus_first	31.8	29.5
Archaeocyon_leptodus_first	31.8	29.5
Ectopocynus_antiquus_first	31.8	29.5
Paraenhydrocyon_josephi_first	29.5	24.7
Cynarctoides_lemur_first	29.5	24.7
Phlaocyon_latidens_first	31.8	29.5
Rhizocyon_oregonensis_first	29.5	24.7
Enhydrocyon_crassidens_first	29.5	24.7
Leptocyon_vulpinus_first	29.5	18.5
Paraenhydrocyon_robustus_first	23.1	18.5
Cormocyon_haydeni_first	29.5	18.5
Leptocyon_gregorii_first	23.1	18.5
Cynarctoides_acridens_first	29.5	18.5
Enhydrocyon_pahinsintewakpa_first	29.5	24.7
Otarocyon_cooki_first	29.5	24.7
Cormocyon_copei_first	29.5	24.7
Mesocyon_coryphaeus_first	29.5	24.7
Leptocyon_mollis_first	29.5	24.7
Mesocyon_brachyops_first	31.8	18.5
Enhydrocyon_stenocephalus_first	29.5	24.7
Cynarctoides_roii_first	29.5	24.7
Philotrox_condoni_first	29.5	24.7
Phlaocyon_minor_first	29.5	18.5
Sunkahetanka_geringensis_first	29.5	24.7
Leptocyon_douglassi_first	29.5	24.7
Desmocyon_thomsoni_first	29.5	18.5
Phlaocyon_annectens_first	23.1	18.5
Phlaocyon_achoros_first	27.82	23.03
Paraenhydrocyon_wallovianus_first	27.82	23.03
Cynarctoides_luskensis_first	23.1	18.5
Osbornodon_brachypus_first	29.5	18.5
Enhydrocyon_basilatus_first	29.5	18.5
Phlaocyon_multicuspus_first	23.1	18.5
Phlaocyon_leucosteus_first	23.1	18.5
Cynarctoides_harlowi_first	23.1	18.5
Metatomarctus_canavus_first	20.44	15.98
Protomarctus_optatus_first	20.44	15.98
Ectopocynus_simplicidens_first	18.5	16.3
Phlaocyon_mariae_first	18.5	16.3
Desmocyon_matthewi_first	18.5	16.3
Paracynarctus_kelloggi_first	23.03	5.333
Phlaocyon_marslandensis_first	18.5	16.3
Paracynarctus_sinclairi_first	16.3	12.5
Tomarctus_hippophaga_first	18.5	16.3
Tomarctus_brevirostris_first	18.5	16.3
Osbornodon_iamonensis_first	23.03	15.98
Microtomarctus_conferta_first	18.5	16.3
Osbornodon_fricki_first	18.5	16.3
Leptocyon_leidyi_first	23.1	18.5
Euoplocyon_brachygnathus_first	16.3	12.5
Psalidocyon_marianae_first	16.3	12.5
Aelurodon_asthenostylus_first	18.5	16.3
Cynarctoides_emryi_first	18.5	16.3
Phlaocyon_yatkolai_first	18.5	16.3
Epicyon_haydeni_first	16.3	12.5
Aelurodon_taxoides_first	23.03	5.333
Epicyon_saevus_first	23.03	5.333
Leptocyon_vafer_first	23.03	5.333
Aelurodon_ferox_first	16.3	12.5
Borophagus_secundus_first	12.5	9.4
Carpocyon_limosus_first	9.4	4.7
Borophagus_hilli_first	9.4	4.7
Eucyon_davisi_first	11.63	5.333
Cynarctus_crucidens_first	13.82	11.63
Paratomarctus_euthos_first	23.03	5.333
Carpocyon_robustus_first	12.5	9.4
Aelurodon_mcgrewi_first	16.3	12.5
Leptocyon_matthewi_first	12.5	9.4
Carpocyon_compressus_first	16.3	12.5
Borophagus_pugnator_first	12.5	9.4
Aelurodon_stirtoni_first	16.3	12.5
Carpocyon_webbi_first	16.3	12.5
Vulpes_stenognathus_first	12.5	4.7
Paratomarctus_temerarius_first	18.5	16.3
Cynarctus_saxatilis_first	16.3	12.5
Eucyon_ferox_first	9.4	4.7
Cynarctus_voorhiesi_first	12.5	9.4
Canis_lepophagus_first	9.4	4.7
Epicyon_aelurodontoides_first	9.4	4.7
Cynarctus_marylandica_first	15.98	13.82
Borophagus_orc_first	9.4	4.7
Euoplocyon_spissidens_first	18.5	16.3
Urocyon_webbi_first	9.4	4.7
Tephrocyon_rurestris_first	18.5	16.3
Metalopex_merriami_first	18.5	12.5
Borophagus_littoralis_first	12.5	9.4
Cynarctoides_gawnae_first	18.5	16.3
Protepicyon_raki_first	16.3	12.5
Borophagus_parvus_first	9.4	4.7
Cynarctus_galushai_first	16.3	12.5
Cerdocyon_texanus_first	9.4	4.7
Metalopex_macconnelli_first	12.5	9.4
Canis_edwardii_first	4.7	1.4
Canis_armbrusteri_first	1.8	0.774
Canis_latrans_ext	0	0
Canis_latrans_first	4.7	1.4
Borophagus_diversidens_first	4.7	1.4
Urocyon_galushai_first	4.7	1.4
Canis_thooides_first	4.7	1.4
Urocyon_cinereoargenteus_ext	0	0
Urocyon_cinereoargenteus_first	2.58	1.8
Vulpes_velox_ext	0	0
Vulpes_velox_first	4.7	1.4
Vulpes_vulpes_ext	0	0
Vulpes_vulpes_first	3.1	2.58
Aenocyon_dirus_first	3.6	0.774
Canis_lupus_ext	0	0
Canis_lupus_first	3.6	2.58
Urocyon_minicephalus_first	1.4	0.21
Urocyon_citrinus_first	2.58	1.8
Vulpes_lagopus_ext	0	0
Vulpes_lagopus_first	1.4	0.21
Xenocyon_texanus_first	1.4	0.21
Lupulella_mesomelas_ext	0	0
Lupulella_mesomelas_first	5.333	0.774
Cerdocyon_thous_ext	0	0
Cerdocyon_thous_first	0.3	0.0117
Speothos_venaticus_ext	0	0
Speothos_venaticus_first	2.58	0.0117
Lycaon_pictus_ext	0	0
Lycaon_pictus_first	2.58	0.0117
Otocyon_megalotis_ext	0	0
Otocyon_megalotis_first	2.58	0.0117
Canis_aureus_ext	0	0
Canis_aureus_first	2.58	0.774
Vulpes_chama_ext	0	0
Vulpes_chama_first	3.6	0.0117
Canis_mosbachensis_first	3.1	2.58
Canis_etruscus_first	11.63	0.774
Canis_arnensis_first	5.333	0.0117
Vulpes_corsac_ext	0	0
Vulpes_corsac_first	2.58	0.0117
Nyctereutes_procyonoides_ext	0	0
Nyctereutes_procyonoides_first	2.58	0
Cuon_alpinus_ext	0	0
Cuon_alpinus_first	2.58	0.0117
Canis_variabilis_first	2.58	0.774
Chrysocyon_brachyurus_ext	0	0
Chrysocyon_brachyurus_first	2.58	0.774
Lycalopex_culpaeus_ext	0	0
Lycalopex_culpaeus_first	2.58	0.0117
Borophagus_dudleyi_first	9.4	4.7
Vulpes_macrotis_ext	0	0
Vulpes_macrotis_first	0.129	0.0117
Canis_chihliensis_first	3.6	0.774
Lycalopex_gymnocercus_ext	0	0
Lycalopex_gymnocercus_first	2.58	0.774
Lycalopex_vetulus_ext	0	0
Lycalopex_vetulus_first	23.03	5.333
Lycalopex_griseus_ext	0	0
Lycalopex_griseus_first	0.3	0.0117
Urocyon_littoralis_ext	0	0
Urocyon_littoralis_first	0.21	0
Canis_palmidens_first	3.6	0.774
Canis_simensis_ext	0	0
Canis_simensis_first	1.8	0.774
Lycalopex_sechurae_ext	0	0
Lycalopex_sechurae_first	0.129	0.0117
Dusicyon_australis_first	0.003752	0.003396
Lupulella_adusta_ext	0	0
Lupulella_adusta_first	3.6	2.58
Canis_anthus_ext	0	0
Canis_anthus_first	2.58	0.774
Canis_falconeri_first	5.333	2.58
Canis_antonii_first	3.6	0.774
Vulpes_rueppellii_ext	0	0
Vulpes_zerda_ext	0	0
Vulpes_pallida_ext	0	0
Atelocynus_microtis_ext	0	0
Lycalopex_fulvipes_ext	0	0
Vulpes_cana_ext	0	0
Vulpes_ferrilata_ext	0	0
