taxon	fa_max	fa_min	la_max	la_min	k
Canis_etruscus	11.63	0.774	5.333	0.0117	44
Canis_arnensis	5.333	0.0117	5.333	0.0117	11
Vulpes_corsac	2.58	0.0117	0	0	1
Nyctereutes_procyonoides	2.58	0	0	0	3
Cuon_alpinus	2.58	0.0117	0	0	11
Canis_variabilis	2.58	0.774	0.129	0.0117	4
Chrysocyon_brachyurus	2.58	0.774	0	0	8
Lycalopex_culpaeus	2.58	0.0117	0	0	7
Borophagus_dudleyi	9.4	4.7	5.333	3.6	2
Vulpes_macrotis	0.129	0.0117	0	0	1
Canis_chihliensis	3.6	0.774	3.6	0.774	2
Lycalopex_gymnocercus	2.58	0.774	0	0	10
Lycalopex_vetulus	23.03	5.333	0	0	4
Lycalopex_griseus	0.3	0.0117	0	0	3
Urocyon_littoralis	0.21	0	0	0	3
Canis_palmidens	3.6	0.774	3.6	0.774	1
Canis_simensis	1.8	0.774	0	0	1
Lycalopex_sechurae	0.129	0.0117	0	0	1
Dusicyon_australis	0.003752	0.003396	5e-04	0.000236	3
Lupulella_adusta	3.6	2.58	0	0	8
Canis_anthus	2.58	0.774	0	0	5
Canis_falconeri	5.333	2.58	2.58	0.0117	13
Canis_antonii	3.6	0.774	3.6	0.774	1
Vulpes_rueppellii	0	0	0	0	0
Vulpes_zerda	0	0	0	0	0
Vulpes_pallida	0	0	0	0	0
Atelocynus_microtis	0	0	0	0	0
Lycalopex_fulvipes	0	0	0	0	0
Vulpes_cana	0	0	0	0	0
Vulpes_ferrilata	0	0	0	0	0
