taxon	fa_max	fa_min	la_max	la_min
Urocyon_citrinus	2.58	1.8	2.58	1.8
Vulpes_lagopus	1.4	0.21	0	0
Xenocyon_texanus	1.4	0.21	1.4	0.21
Lupulella_mesomelas	5.333	0.774	0	0
Cerdocyon_thous	0.3	0.0117	0	0
Speothos_venaticus	2.58	0.0117	0	0
Lycaon_pictus	2.58	0.0117	0	0
Otocyon_megalotis	2.58	0.0117	0	0
Canis_aureus	2.58	0.774	0	0
Vulpes_chama	3.6	0.0117	0	0
Canis_mosbachensis	3.1	2.58	0	0
Canis_etruscus	11.63	0.774	2.58	0.0117
Canis_arnensis	5.333	0.0117	2.58	0.0117
Vulpes_corsac	2.58	0.0117	2.58	0.0117
Nyctereutes_procyonoides	2.58	0	0	0
Cuon_alpinus	2.58	0.0117	0.129	0.0117
Canis_variabilis	2.58	0.774	0.129	0.0117
Chrysocyon_brachyurus	2.58	0.774	0	0
Lycalopex_culpaeus	2.58	0.0117	0	0
Borophagus_dudleyi	9.4	4.7	5.333	3.6
Vulpes_macrotis	0.129	0.0117	0.129	0.0117
Canis_chihliensis	3.6	0.774	2.58	0.774
Lycalopex_gymnocercus	2.58	0.774	0	0
Lycalopex_vetulus	23.03	5.333	2.58	0.0117
Lycalopex_griseus	0.3	0.0117	0	0
Urocyon_littoralis	0.21	0	0	0
Canis_palmidens	3.6	0.774	3.6	0.774
Canis_simensis	1.8	0.774	1.8	0.774
Lycalopex_sechurae	0.129	0.0117	0.129	0.0117
Dusicyon_australis	0.003752	0.003396	5e-04	0.000236
Lupulella_adusta	3.6	2.58	0	0
Canis_anthus	2.58	0.774	0	0
Canis_falconeri	5.333	2.58	2.58	0.0117
Canis_antonii	3.6	0.774	3.6	0.774
