"taxon" "diet"
"Hesperocyon_gregarius" 2
"Prohesperocyon_wilsoni" 2
"Hesperocyon_coloradensis" 2
"Otarocyon_macdonaldi" 2
"Mesocyon_temnodon" 2
"Osbornodon_renjiei" 2
"Archaeocyon_pavidus" 2
"Cynodesmus_thooides" 1
"Osbornodon_sesnoni" 2
"Oxetocyon_cuspidatus" 2
"Archaeocyon_leptodus" 2
"Ectopocynus_antiquus" 2
"Paraenhydrocyon_josephi" 1
"Cynarctoides_lemur" 2
"Phlaocyon_latidens" 2
"Rhizocyon_oregonensis" 2
"Enhydrocyon_crassidens" 1
"Leptocyon_vulpinus" 2
"Paraenhydrocyon_robustus" 1
"Cormocyon_haydeni" 2
"Leptocyon_gregorii" 2
"Cynarctoides_acridens" 2
"Enhydrocyon_pahinsintewakpa" 1
"Archaeocyon_falkenbachi" 2
"Otarocyon_cooki" 2
"Cormocyon_copei" 2
"Caedocyon_tedfordi" 1
"Mesocyon_coryphaeus" 1
"Leptocyon_mollis" 2
"Mesocyon_brachyops" 2
"Enhydrocyon_stenocephalus" 1
"Cynarctoides_roii" 2
"Philotrox_condoni" 1
"Ectopocynus_intermedius" 1
"Phlaocyon_minor" 2
"Cynodesmus_martini" 2
"Sunkahetanka_geringensis" 1
"Leptocyon_douglassi" 2
"Desmocyon_thomsoni" 2
"Phlaocyon_annectens" 2
"Phlaocyon_achoros" 2
"Paraenhydrocyon_wallovianus" 1
"Cynarctoides_luskensis" 2
"Osbornodon_brachypus" 2
"Enhydrocyon_basilatus" 1
"Phlaocyon_multicuspus" 2
"Phlaocyon_leucosteus" 2
"Cynarctoides_harlowi" 2
"Metatomarctus_canavus" 2
"Protomarctus_optatus" 2
"Ectopocynus_simplicidens" 1
"Phlaocyon_mariae" 2
"Desmocyon_matthewi" 2
"Paracynarctus_kelloggi" 2
"Phlaocyon_marslandensis" 2
"Paracynarctus_sinclairi" 2
"Tomarctus_hippophaga" 2
"Tomarctus_brevirostris" 1
"Osbornodon_iamonensis" 2
"Microtomarctus_conferta" 2
"Osbornodon_fricki" 1
"Leptocyon_leidyi" 2
"Euoplocyon_brachygnathus" 1
"Psalidocyon_marianae" 2
"Aelurodon_asthenostylus" 1
"Cynarctoides_emryi" 2
"Phlaocyon_yatkolai" 2
"Epicyon_haydeni" 1
"Aelurodon_taxoides" 1
"Epicyon_saevus" 1
"Leptocyon_vafer" 2
"Aelurodon_ferox" 1
"Borophagus_secundus" 1
"Carpocyon_limosus" 1
"Borophagus_hilli" 1
"Eucyon_davisi" 2
"Cynarctus_crucidens" 2
"Paratomarctus_euthos" 2
"Carpocyon_robustus" 1
"Aelurodon_mcgrewi" 1
"Leptocyon_matthewi" 2
"Carpocyon_compressus" 2
"Borophagus_pugnator" 1
"Aelurodon_stirtoni" 1
"Carpocyon_webbi" 1
"Vulpes_stenognathus" 2
"Paratomarctus_temerarius" 2
"Cynarctus_saxatilis" 2
"Eucyon_ferox" 2
"Cynarctus_voorhiesi" 2
"Canis_lepophagus" 2
"Epicyon_aelurodontoides" 1
"Cynarctus_marylandica" 2
"Borophagus_orc" 1
"Euoplocyon_spissidens" 1
"Urocyon_webbi" 2
"Tephrocyon_rurestris" 2
"Metalopex_merriami" 2
"Borophagus_littoralis" 1
"Cynarctoides_gawnae" 2
"Protepicyon_raki" 1
"Borophagus_parvus" 1
"Cynarctus_galushai" 2
"Cerdocyon_texanus" 2
"Metalopex_macconnelli" 2
"Canis_edwardii" 2
"Canis_armbrusteri" 1
"Canis_latrans" 2
"Borophagus_diversidens" 1
"Urocyon_galushai" 2
"Canis_thooides" 2
"Urocyon_cinereoargenteus" 2
"Vulpes_velox" 2
"Vulpes_vulpes" 2
"Aenocyon_dirus" 1
"Canis_lupus" 1
"Urocyon_minicephalus" 2
"Urocyon_citrinus" 2
"Vulpes_lagopus" 2
"Xenocyon_texanus" 1
"Lupulella_mesomelas" 2
"Cerdocyon_thous" 2
"Speothos_venaticus" 1
"Lycaon_pictus" 1
"Otocyon_megalotis" 2
"Canis_aureus" 2
"Vulpes_chama" 2
"Canis_mosbachensis" 1
"Canis_etruscus" 1
"Canis_arnensis" 2
"Vulpes_corsac" 2
"Nyctereutes_procyonoides" 2
"Cuon_alpinus" 1
"Canis_variabilis" 2
"Chrysocyon_brachyurus" 2
"Lycalopex_culpaeus" 2
"Borophagus_dudleyi" 1
"Vulpes_macrotis" 2
"Canis_chihliensis" 1
"Lycalopex_gymnocercus" 2
"Lycalopex_vetulus" 2
"Lycalopex_griseus" 2
"Urocyon_littoralis" 2
"Canis_palmidens" 2
"Canis_simensis" 2
"Lycalopex_sechurae" 2
"Dusicyon_australis" 2
"Lupulella_adusta" 2
"Canis_anthus" 2
"Canis_falconeri" 1
"Canis_antonii" 1
"Atelocynus_microtis" 2
"Lycalopex_fulvipes" 2
"Vulpes_cana" 2
"Vulpes_ferrilata" 2
"Vulpes_pallida" 2
"Vulpes_rueppellii" 2
"Vulpes_zerda" 2
